25
25
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4
2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4
2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4	12	10	4	4	4	4	4	4	4
2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2	11	9	2	2	2	2	2	2	2
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
